pitcher_id,pitcher_name,team,era,whip,k9,fip,bb9,k_bb_pct,hr9,ip,is_left,wins,losses,k,walks,home_runs,batters_faced,games_started,games_pitched,saves,holds
645261,Sandy Alcantara,,3.06,1.05,5.86,4.3887,3.06,0.0786,1.02,35.333333333333336,0,2,2,23.0,12.0,4.0,140.0,5,5,0,0
669923,George Kirby,,2.97,1.05,7.29,3.86,2.16,0.1473,1.08,33.333333333333336,0,3,2,27.0,8.0,4.0,129.0,5,5,0,0
608331,Max Fried,,2.97,0.81,6.21,2.93,2.16,0.1181,0.27,33.333333333333336,1,2,1,23.0,8.0,1.0,127.0,5,5,0,0
667755,José Soriano,,0.28,0.73,10.74,2.4041,3.58,0.2167,0.28,32.666666666666664,0,5,0,39.0,13.0,1.0,120.0,5,5,0,0
693433,Bryan Woo,,2.25,0.88,7.31,2.1375,1.69,0.1626,0.0,32.0,0,1,2,26.0,6.0,0.0,123.0,5,5,0,0
607625,Seth Lugo,,1.15,0.93,8.04,2.3702,2.87,0.1552,0.0,31.333333333333332,0,1,1,28.0,10.0,0.0,116.0,5,5,0,0
669373,Tarik Skubal,,2.08,0.96,9.79,2.0462,1.78,0.2288,0.3,30.333333333333332,1,3,2,33.0,6.0,1.0,118.0,5,5,0,0
657277,Logan Webb,,5.4,1.4,8.1,3.3667,3.3,0.1212,0.6,30.0,0,2,2,27.0,11.0,2.0,132.0,5,5,0,0
664285,Framber Valdez,,3.3,1.2,6.0,3.2,2.7,0.0866,0.3,30.0,1,2,1,20.0,9.0,1.0,127.0,5,5,0,0
693821,Bryce Elder,,1.5,0.97,8.7,3.0333,2.7,0.1695,0.6,30.0,0,3,1,29.0,9.0,2.0,118.0,5,5,0,0
668909,Gavin Williams,,2.12,1.01,12.13,3.9753,5.16,0.2,1.21,29.666666666666668,0,3,1,40.0,17.0,4.0,115.0,5,5,0,0
605488,Jeffrey Springs,,3.34,0.98,8.19,4.0427,2.73,0.1552,1.21,29.666666666666668,1,3,1,27.0,9.0,4.0,116.0,5,5,0,0
519242,Chris Sale,,2.79,1.0,9.0,4.1655,2.17,0.1913,1.55,29.0,1,4,1,29.0,7.0,5.0,115.0,5,5,0,0
656605,Mitch Keller,,2.79,1.1,5.9,3.269,2.79,0.087,0.31,29.0,0,2,1,19.0,9.0,1.0,115.0,5,5,0,0
695076,Rhett Lowder,,3.1,1.14,5.59,3.3379,2.79,0.0763,0.31,29.0,0,3,1,18.0,9.0,1.0,118.0,5,5,0,0
669302,Logan Gilbert,,4.03,1.17,9.93,2.8552,1.55,0.2348,0.93,29.0,0,1,3,32.0,5.0,3.0,115.0,5,5,0,0
676106,Emerson Hancock,,2.83,0.87,8.79,3.9326,1.26,0.2286,1.57,28.666666666666668,0,2,1,28.0,4.0,5.0,105.0,5,5,0,0
669432,Trevor Rogers,,4.08,1.33,7.85,3.6535,2.51,0.1393,0.94,28.666666666666668,1,2,2,25.0,8.0,3.0,122.0,5,5,0,0
