team,bp_era,bp_whip,bp_k_bb,bp_ip_last_3d,bp_ip_yesterday,bp_relievers_last_3d,bp_relievers_yesterday,bp_top_used_yesterday
ATL,2.68,1.05,2.91,0.0,0.0,0.0,0.0,0.0
PIT,3.22,1.27,2.27,0.0,0.0,0.0,0.0,0.0
SEA,3.33,1.19,3.57,0.0,0.0,0.0,0.0,0.0
CIN,3.36,1.34,1.68,0.0,0.0,0.0,0.0,0.0
SD,3.36,1.23,2.79,0.0,0.0,0.0,0.0,0.0
NYY,3.4,1.17,3.35,0.0,0.0,0.0,0.0,0.0
DET,3.41,1.26,2.2,0.0,0.0,0.0,0.0,0.0
LAD,3.42,1.12,2.73,0.0,0.0,0.0,0.0,0.0
CHC,3.47,1.16,2.72,0.0,0.0,0.0,0.0,0.0
TEX,3.57,1.29,2.54,0.0,0.0,0.0,0.0,0.0
BAL,3.81,1.34,2.55,0.0,0.0,0.0,0.0,0.0
MIL,3.85,1.32,2.36,0.0,0.0,0.0,0.0,0.0
AZ,4.01,1.25,2.49,0.0,0.0,0.0,0.0,0.0
MIA,4.01,1.25,2.26,0.0,0.0,0.0,0.0,0.0
LAA,4.03,1.37,1.87,0.0,0.0,0.0,0.0,0.0
NYM,4.06,1.28,2.53,0.0,0.0,0.0,0.0,0.0
MIN,4.06,1.37,2.35,0.0,0.0,0.0,0.0,0.0
CLE,4.09,1.27,2.65,0.0,0.0,0.0,0.0,0.0
SF,4.15,1.32,2.32,0.0,0.0,0.0,0.0,0.0
COL,4.4,1.42,2.21,0.0,0.0,0.0,0.0,0.0
BOS,4.42,1.33,2.1,0.0,0.0,0.0,0.0,0.0
TOR,4.44,1.31,2.97,0.0,0.0,0.0,0.0,0.0
TB,4.54,1.27,2.23,0.0,0.0,0.0,0.0,0.0
KC,4.56,1.38,1.9,0.0,0.0,0.0,0.0,0.0
ATH,4.78,1.49,1.65,0.0,0.0,0.0,0.0,0.0
CWS,4.83,1.45,1.64,0.0,0.0,0.0,0.0,0.0
STL,4.86,1.42,1.56,0.0,0.0,0.0,0.0,0.0
PHI,4.87,1.42,3.42,0.0,0.0,0.0,0.0,0.0
WSH,5.71,1.54,1.82,0.0,0.0,0.0,0.0,0.0
HOU,5.93,1.62,1.77,0.0,0.0,0.0,0.0,0.0
